"Campaign name","Ad set name","Ad name",Age,Gender,"Result Type",Results,"CTR (all)","Result rate","Amount spent (INR)","Cost per result",Frequency,"CPM (cost per 1,000 impressions)",Impressions,"Clicks (all)","Reporting starts","Reporting ends"
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Video-No. 1 Franchise Opportunity",35-44,male,"On-Facebook leads",6,1.54479918,0.30895983522142,349.6,58.266666666667,1.7216312056738,180.02059732,1942,30,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",25-34,male,"On-Facebook leads",1,1.16959064,0.053163211057948,267.14,267.14,1.7225274725275,142.02020202,1881,22,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Own a Chicken Store Today",35-44,male,"On-Facebook leads",4,2.18666667,0.21333333333333,280.94,70.235,1.425855513308,149.83466667,1875,41,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Own a Chicken Store Today",25-34,male,"On-Facebook leads",5,1.35977337,0.28328611898017,278.84,55.768,1.5730837789661,157.98300283,1765,24,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",18-24,male,"On-Facebook leads",2,1.14182692,0.12019230769231,162.18,81.09,1.7702127659574,97.46394231,1664,19,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",35-44,male,,,0.90415913,,145.41,,1.8032608695652,87.64918626,1659,15,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-No. 1 Franchise Opportunity",45-54,male,"On-Facebook leads",3,2.29671012,0.18621973929236,176.4,58.8,1.8348519362187,109.4972067,1611,37,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",35-44,male,"On-Facebook leads",3,3.49750178,0.21413276231263,155.83,51.943333333333,1.6215277777778,111.2276945,1401,49,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",35-44,male,,,1.78716491,,265.99,,1.7387005649718,216.07636068,1231,22,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-60+ Franchise Stores across Maharashtra",45-54,male,"On-Facebook leads",3,3.34841629,0.27149321266968,239.13,79.71,1.7708333333333,216.40723982,1105,37,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Partner with us today!",25-34,male,"On-Facebook leads",1,0.9380863,0.093808630393996,125.25,125.25,1.3047735618115,117.49530957,1066,10,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",35-44,male,"On-Facebook leads",1,1.57790927,0.09861932938856,89.79,89.79,1.6843853820598,88.55029586,1014,16,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",18-24,male,,,1.1,,74.14,,1.5503875968992,74.14,1000,11,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Own a Chicken Store Today",35-44,male,"On-Facebook leads",5,2.17166494,0.51706308169597,211.58,42.316,1.5300632911392,218.80041365,967,21,2019-11-01,2019-12-03
